id,id_marque,id_modele,designation,annee,kilometrage,prix
152,2,7,Audi a4 break tdi,2002,122000,14300
153,2,7,Audi a4 130cv model 2002,2001,157000,7500
154,2,7,Audi A4 1.9 TDI,2002,107200,9900
155,2,7,AUDI a4 2.5tdi v6,1998,183500,4700
156,2,7,AUDI A4 Avant 2.5 TDI 163cv,2004,188000,9500
157,2,7,Audi a4 avant 2.0 tdi ambition luxe,2005,91000,16700
158,2,7,Audi a4 s line 2.0 140cv multitronic,2007,99500,19900
159,2,7,Audi a4 tdi 130,2002,131000,9500
160,2,7,Audi A4 1.9L TDI 130 CV,2001,138000,9900
161,2,7,Audi A4 avant break 1.9TDI 130ch pack plus,2002,154991,10599
162,2,8,AUDI A5 Cabriolet S-LINE 2.0 TSI 211 Quattro,2009,9000,46900
163,2,8,AUDI A5 Cabriolet S-LINE 2.0 TSI 211 Quattro,2009,9000,46900
164,2,8,AUDI A5 Cabriolet S-LINE 2.0 TSI 211 Quattro,2009,9000,46900
165,2,9,AUDI A6 TDI AVANT BREAK AMBIENTE GPS + RÃ©gulateur,2006,67500,22000
166,2,9,Audi a6 2.0 tdi,2006,174000,14900
167,2,9,Audi a6 en suberbe etat,2004,106000,13000
168,2,9,Audi A6 2.5 TDI 150 CV&virgule,2001,121000,10990
169,2,9,Audi a6 en suberbe etat,2004,106000,13000
170,2,9,Audi A6 2.5 TDI 150 CV&virgule,2001,121000,10990
171,2,9,AUDI A6 avant 2.0 TDI Ambition Luxe 2006,2006,112000,19000
172,2,9,AUDI A6 avant 2.0 TDI Ambition Luxe 2006,2006,112000,19000
173,2,9,AUDI A6 QUATTRO 4X4 TDI ==echange==,2002,122300,12850
174,2,9,Audi A6 break 2.5L TDI 150cv,1998,153000,7800
175,2,9,Audi A6 break 2.5L TDI 150cv,1998,153000,7800
176,2,9,AUDI A6 ALLROAD 2&virgule,2002,174000,12900
177,2,9,AUDI A6 ALLROAD 2&virgule,2002,174000,12900
178,2,9,Audi A6 2.5 tdi mellÃ©sime 1997 toute options,1996,234000,4000
179,2,9,Audi a6,1997,380000,3000
180,2,9,Audi A6 break 2.5 tdi quattro pack luxe,2000,320000,7500
181,2,10,Audi a8 v6tdi 2.5l 150cv 9800euro,1998,236000,9800
182,2,11,AUDI Q5 2.0 TDI 170 Cv CUIR 2009 NOIR,2009,28200,39200
183,2,11,AUDI Q5 2.0 TDI 170cv XENON \u0096 CUIR - GPS,2008,7000,42400
184,2,12,Audi S3 2&virgule,2008,24260,33000
185,3,13,118 D confort 143CV 24000km du 12/2008 GPS16/9,2008,24000,19000
186,28,13,BMW 118 Diesel 122 ch Confort BV6. 5 portes,2006,76500,16900
187,28,13,BMW 118 Diesel 122 ch Confort BV6. 5 portes,2006,76500,16900
188,28,13,BMW 118D Confort BVA6 / 5P / 12.06.09 / 13000km,2009,13000,22900
189,28,14,Bmw 120d,2009,15600,27500
190,28,15,Bmw 320d e46,2001,97000,8000
191,28,16,BMW 320td compact Ã  dÃ©battre,2002,125000,13500
192,4,17,Chevrolet Captiva LT Pack 150cv faible kilomÃ¨trage,2007,28000,21400
193,5,18,Chrysler PT Cruiser 2.2 CRD Route 66,2006,83000,12600
194,5,18,Pt cruiser touring 2.2 crd,2003,81000,8500
195,5,18,Chrysler - Pt Cruiser touring CRD,2002,165200,8700
196,5,18,Chrysler - Pt Cruiser touring CRD,2002,165200,8700
197,5,18,CHRYSLER PT CRUISER 2.2 CRD OLYMPIA 150ch,2006,73660,10900
198,5,18,Pt Cruiser 2.2 CRD Touring Noir 07/2004 100000kms,2004,100000,8400
199,6,19,C5 BVA 2.2HDI 136cv 2002 FULL 105000Km 7300\u0080 Grtie,2002,99999,7300
200,6,19,Citroen c4 2.0hdi 138cv exclusive&virgule,2007,99900,10490
201,6,19,Citroen c4 picasso hdi 138 cv collection + gps,2009,8000,23490
202,6,19,Citroen c4 picasso hdi 138 cv collection + gps,2009,8000,23490
203,6,19,C4 VTS HDI 2.0 litre 138 chx 2005,2005,65000,13200
204,6,19,C4 VTS HDI 2.0 litre 138 chx 2005,2005,65000,13200
205,6,19,Grand c4 piccasso eclisive pack plus,2008,71000,21000
206,6,20,Citroen c5 2.2hdi 136ch,2003,196000,3500
207,6,20,A Saisir C5 2.2HDi 136CV 1Ã¨re main&virgule,2002,105000,7000
208,6,20,Tres belle citroen c5 exclusive 2.2 hdi 138,2001,159000,6300
209,6,20,Citroen C5 hdi exclusive cuir 108000km luxauto,2005,108000,8900
210,6,20,Citroen C5 Berline 2.0 L HDi 140 CV,2010,200000,23700
211,6,20,Citroen c5 ii 2.0 hdi 138 fap exclusive,2008,23000,20490
212,6,21,Citroen C6 2.2 HDi Exclusive,2007,22000,21900
213,6,21,Citroen C6 2.2 HDi Exclusive,2007,22000,21900
214,6,22,C8 2.0 hdi 110cv 09/2004 gps 67000kms 6 sieges,2005,67000,11200
215,6,22,C8 2.0 hdi 110cv 09/2004 gps 67000kms 6 sieges,2005,67000,11200
216,6,22,C8 CitroÃ«n HDI 138CV Exclusive 7 places,2009,14500,27500
217,6,22,CITROEN C8 2.2 hdi 130 CH pack fap noir,2004,149000,10500
218,6,22,CITROEN C8 2.0L 143cv an2006-29700km COMME NEUF,2006,29700,21000
219,6,22,TRES URGENT c8 2.0 pack 16v 110cv 7places merci,2003,90000,10200
220,6,22,C8 2.2 130 ch HDI PACK FAP,2004,149000,11500
221,6,22,C8 2.0 16v hdi exclusive rÃ©visÃ© garantie 1 an,2006,117030,13600
222,6,23,CITROEN XM.2.5L.TD.136cv.EXCLUSIVE. magnifique,1999,176000,5000
223,6,24,Xsara Picasso 2.0HDi pack,1993,155500,3950
224,6,24,CITROEN Xsara 2.0 VTS 137 ch,2001,115000,4000
225,6,24,Citroen Xsara 2 exclusive 2.0 HDI 90cv an2002 CTOK,2002,130000,3990
226,6,24,Belle citroen xsara 2.0 hdi 90ch exclusive,2001,203120,3790
227,6,24,Picasso 2.0 hdi 90cv,2000,207000,3700
228,6,24,Xsara exclusive 2.0 hdi 110cv bva affaire,2003,128000,4490
229,6,24,Citroen xsara picasso 2.0 hdi 90 ch exclusive gtie,2003,153000,5990
230,6,24,Citroen xsara picasso 2.0 hdi,2003,141133,6990
231,6,24,Citroen xsara break 2.0 hdi 90cv sx,2001,147000,3990
232,6,24,Citroen zxara,2000,155000,4000
233,6,24,Citroen zxara,2000,155000,4000
234,6,24,CITROEN XSARA II 2.0 HDI 90 cv,2001,240000,3000
235,6,24,Citroen zxara,2000,155000,4000
236,6,24,Citroen XSARA 2.0 HDI 90CH 5 portes,2003,167000,4700
237,6,24,Voiture xsara citroen 110 cv,2001,137000,5900
238,6,24,Citroen xsara 2.0 HDI,2003,92000,7500
239,6,24,Citroen xsara 2.0 HDI,2003,92000,7500
240,6,24,A SAISIR XSARA VTS 2.0 167 Cv - Cuir - Clim,2000,164000,3900
241,6,24,A SAISIR XSARA VTS 2.0 167 Cv - Cuir - Clim,2000,164000,3900
242,6,24,Xsara picasso hdi,2000,192000,4000
243,6,24,Citroen picasso 2.0l hdi 90 cv,2002,143000,5500
244,6,24,Citroen picasso 2.0 hdi 90 cv a-r-o,2002,145000,5990
245,6,24,Citroen xsara break 2.0hdi 90 an 2000 245000km tbe,2000,245000,2800
246,6,24,Citroen xsara 1.9d 70cv,2002,155000,2500
247,6,24,Citroen xsara picasso pack clim. 2.0l hdi rouge 90,2001,149200,6200
248,6,24,CitroÃ«n Picasso Diesel,2005,66000,9300
249,6,24,CITROEN XSARA Exclusive 2.0L HDI 110Cv,2001,131000,4900
250,6,24,Citroen XSARA 2002 2.0 HDI EXCLUSIVE,2002,140000,5500
251,6,24,Picasso 2.0 hdi pack clim rÃ©visÃ© garantie 3 mois,2003,164652,6900
252,7,25,Bravo 2.0 MTJ 165ch Sport,2009,6500,21300
253,7,25,Bravo 2.0 MTJ 165ch Sport,2009,6500,21300
254,7,25,"Fiat bravo 2.0l hgt pack sport ""echange possible""",2000,138000,3900
255,7,25,Fiat Bravo II 1.9 M-Jet 150 Cv EMOTION,2008,29300,12300
256,7,25,Fiat bravo dynamique jtd,2007,34800,12300
257,7,26,Fiat Croma 1.9 Mjet 120 CV Dynamic - 40750 km,2007,40750,13190
258,7,27,FIAT DOBLO 1.9 JTD 105cv,2004,95000,5700
259,7,28,Fiat marea week end,1997,217000,2000
260,7,29,Fiat grande punto sport 130ch,2006,47500,12500
261,7,29,Fiat grande punto sport 130ch,2006,47500,12500
262,7,29,Fiat grande punto 1.9 mjt 130cv sport,2007,52000,10000
263,7,29,FIAT GRANDEPUNTO 1.9 JTDiesel 120 CV EMOTION,2006,65000,7200
264,7,29,Fiat grande punto 1&virgule,2006,46000,10500
265,7,29,Fiat punto II 1.9L JTD EL clim 80cv,2002,113000,4700
266,7,30,FIAT 4x4 SEDICI 1.9 JTD120 EMOTION 5p,2007,34000,13607
267,7,31,SMART Roadster CoupÃ© Glance Grey,2003,120000,4500
268,7,31,SMART Roadster CoupÃ© Glance Grey,2003,120000,4500
269,7,32,Fiat stilo schumacher,2005,103000,11000
270,7,32,Fiat stilo 1.9 jtd 140ch 2005 153500km 5490\u0080,2005,153500,5490
271,7,32,Fiat Stilo 1.9l JTD 115CH&virgule,2002,166000,4800
272,7,32,"Fiat stilo 1.9l jtd 115 cv ""Ã©change possible""",2002,140000,5900
273,7,32,Fiat stilo abarth,2003,117000,4900
274,7,32,Monospace fiat ulysse 2L2 --- 136cv,2005,160000,10500
275,7,32,Fiat stilo,2003,154700,5800
276,7,32,Fiat stilo,2003,154700,5800
277,7,32,Monospace fiat ulysse,2006,98000,12800
278,7,32,Monospace fiat ulysse,2006,98000,12800
279,7,32,Affaire a saisir fiat stylo,2004,130500,7500
280,7,32,FIAT Stylo,2003,140000,6000
281,7,32,Fiat stylo,2003,144000,4000
282,8,33,Ford C Max Ghia 2l TDCI 34000km,2006,34000,13500
283,8,34,Ford focus 2.0 tdci 133 cv,2003,129000,7490
284,8,34,Ford focus C MAX GHIA 2.0l 136cv,2004,100000,9300
285,8,34,Focus st 225ch 2007,2007,28000,17000
286,8,35,A saisir ford kuga occasion,2009,14900,22995
287,8,35,Ford Kuga Titanium 2.0 TDI 136cv 18 000 km 07/09,2009,18000,25790
288,8,35,Ford Kuga 4x4 Titanium 2.0 TDCI 136&virgule,2009,21950,25890
289,8,35,Ford Kuga Titanium 4x4 2.0 tdci 136 cv Ref:O9,2009,20715,25390
290,8,35,Ford Kuga Titanium 4x4 2.0 tdi Ref:39,2009,28100,25190
291,8,35,FORD KUGA TITANIUM NOIRE Ref:E1,2008,20900,23690
292,8,36,Ford mondeo 2.0 di 115 ch de2001,2001,116000,6500
293,8,36,Ford mondeo 2.0l di 115,2002,200000,2300
294,8,36,Ford MondÃ©o 2.0 l TDCI 130cv Ghia,2003,190000,6000
295,8,36,Ford MondÃ©o 2.0 l TDCI 130cv Ghia,2003,190000,6000
296,8,36,MondÃ©o Titanium 155 CV 2.2 L Diesel 9500 \u0080,2005,125000,9500
297,8,36,MondÃ©o break TDCI 115 cv X-trend,2003,173000,5500
298,8,36,MondÃ©o break TDCI 115 cv X-trend,2003,173000,5500
299,8,36,FORD MONDEO 2 trend berline 157000km,2002,157000,4200
300,8,36,Ford Mondeo 2.0L TDDI 115CV Trend 2002,2002,113000,5200
301,8,36,Ford Mondeo Ghia X&virgule,2008,28000,19490
302,8,36,Ford Mondeo 2.0 TDCi Automatique 140cv 14752 km,2009,14752,24990
303,8,37,OUTLANDER 7 places 2.0 DID 140 INTENSE NEUF,2009,1,26550
304,8,38,FORD RANGER 4x4,2008,52000,22000
305,8,39,Ford S-Max 2.0 Tdci 130cv Titanium Bva 7 places,2008,36900,21900
306,8,39,Ford S-Max 2.0 Tdci 130cv Titanium Bva 7 places,2008,36900,21900
307,8,40,Opel Zafira Elegance 2.2L DTi 125cv 16V&virgule,2003,144500,7890
308,9,41,Honda accord 2.2 ctdi sport,2007,84000,15500
309,9,41,Belle honda accord 2.2 i vtec BVA,1996,230000,2800
310,9,42,Honda civic break 2.0 td 105 cv,1998,299800,2500
311,9,42,Honda civic break 2.0 td 105 cv,1998,299800,2500
312,9,42,Honda civic break 2.0 td 105 cv,1998,299800,2500
313,9,42,Honda Civic 2.2 icdti FAP Sport 140ch,2008,13500,16750
314,9,43,Honda Cr-v (2) 2.2 CTDI 140 CH EX,2005,115000,14600
315,9,43,Honda CRV 2.2 iCTDi 140cv,2005,106000,14000
316,9,44,Honda FRV 2.2 CTDI Confort Pack 1Ã©re Main 55000 K,2006,55000,14900
317,9,44,Honda FRV 2.2 CTDI Confort Pack 1Ã©re Main 55000 K,2006,55000,14900
318,9,44,Honda FRV 2.2 CTDI Confort Pack 1Ã©re Main 55000 K,2006,55000,14900
319,9,44,Honda fr-v 2.2 ctdi executive 140cv 6 places + opt,2008,23000,26000
320,10,45,Hyundai elantra crdi,2004,190000,4500
321,10,46,CoupÃ© Hyundai 2.0L FX 143cv,2002,144000,5900
322,10,46,CoupÃ© Hyundai 2.0L FX 143cv,2002,144000,5900
323,10,47,MONOSPACE HYUNDAI - 2.5 TD 100CV - 162000km -TintÃ©,2000,162000,5100
324,10,48,Hyundai santa fe 2.0 crdi 125 ch,2005,125000,13500
325,10,49,Hyundai tucson 2.0 crdi 140 2wd,2008,55000,15000
326,10,49,HYUNDAI TUCSON 2.0 CRDI 4WD PACK LUXE 112ch,2005,90100,10500
327,10,49,Hyundai tucson 2.0l crdi 140cv 4*4 pack confort,2006,58000,13900
328,10,49,HYUNDAI TUCSON 2.0 CRDI 4WD PACK LUXE 112ch,2005,90100,10500
329,10,49,Hyundai tucson 2.0l crdi 140cv 4*4 pack confort,2006,58000,13900
330,10,49,Hyundai tucson 2.0 crdi,2005,104000,10000
331,10,49,Hyundai Tucson,2007,54000,15000
332,11,50,Jaguar x-type 2.0l D 130ch collection &virgule,2005,82000,16500
333,12,51,Kia Sorento 2.5 L CRDi 170 CV EX Major,2009,15000,19000
334,12,52,KIA Sportage 2.0l CRDI de 2008,2008,50000,17300
335,13,53,LANCIA Lybra 2.4 JTD EXECUTIVE 150 Cv,2002,129000,6800
336,14,54,Lexus is 220d pack muktimedia ou echange,2006,39500,20000
337,15,55,Mazda 3 2.0L Performance 11 000euros Ã  dÃ©b,2007,33000,11000
338,15,55,Mazda 3 Performance Pack 2.0L MZR-CD 143 cv,2007,41400,14500
339,15,55,Mazda 3 Sport 2.2L MZR-CD 185 cv,2009,3500,21900
340,15,55,Mazda 3 Sport 2.2L MZR-CD 185 cv,2009,3500,21900
341,15,56,Mazda rx8 Ã©lÃ©gance pack,2004,53000,14950
342,16,57,Mercedes Classe A AvantGarde 180CDI,2005,110000,11990
343,16,57,Mercedes Classe A AvantGarde 180CDI,2005,110000,11990
344,17,58,"Nissan almera tino ""tekna""",2005,89000,8800
345,17,59,Mitsubishi Pajero 2.5 Turbo d intercooler 115 cv,1990,195000,2500
346,18,60,Astra Cosmo 120ch 1.9l CDTI,2007,20100,12000
347,18,61,NISSAN 4x4 _ 2.2 DCI 136 CH COLUMBIA pack cuir,2006,135000,12200
348,18,61,NISSAN 4x4 _ 2.2 DCI 136 CH COLUMBIA pack cuir,2006,135000,12200
349,18,62,Nissan primera 1.9l DCI,2004,95000,9000
350,18,62,NISSAN PRIMERA 5p 2.2L DCi 138ch Acenta Pack GPS,2006,83653,9990
351,18,62,NISSAN PRIMERA 5p 2.2L DCi 138ch Acenta Pack GPS,2006,83653,9990
352,18,62,NISSAN PRIMERA 5p 2.2L DCi 138ch Acenta Pack GPS,2006,83653,9990
353,18,63,Nissan x-trail diesel premiere main,2004,147000,9000
354,18,64,NISSAN X TRAIL phase 3 2.2 DCI confort pack family,2005,81800,12500
355,18,64,NISSAN X TRAIL phase 3 2.2 DCI confort pack family,2005,81800,12500
356,18,64,Missan x-trail,2003,68738,10400
357,18,64,4x4 nissan x-trail,2004,88000,12500
358,18,64,A SAISIR Nissan X-Trail 2.2 DCI 136 CV Confort,2004,160000,7900
359,18,64,Nissan x-trail 2.2 dci 136ch,2005,120000,14500
360,19,65,Opel Astra 2.0l DTI 16S Ã©dition GPS,2001,152000,4800
361,19,65,Opel Astra 2.0l DTI 16S Ã©dition GPS,2001,152000,4800
